ticker,year,cap,rev,inc,ast,lia,dbt,csh
MSFT,2024,3124000000000,NA,NA,NA,NA,NA,NA
MSFT,2023,2794000000000,218310000000,95020000000,411970000000,205750000000,59960000000,111260000000
MSFT,2022,1787000000000,204090000000,82580000000,364840000000,198290000000,61270000000,104750000000
MSFT,2021,2522000000000,184900000000,79680000000,333770000000,191790000000,67770000000,130330000000
MSFT,2020,1681000000000,153280000000,60720000000,301310000000,183000000000,70990000000,136520000000
MSFT,2019,1200000000000,134240000000,49850000000,286550000000,184220000000,78360000000,133810000000
MSFT,2018,780360000000,118450000000,39920000000,258840000000,176130000000,81800000000,133760000000
MSFT,2017,659900000000,99980000000,29790000000,241080000000,168690000000,86190000000,132980000000
MSFT,2016,483160000000,88890000000,23230000000,193690000000,121690000000,53680000000,113240000000
MSFT,2015,439670000000,88080000000,16120000000,176220000000,96140000000,35290000000,96520000000
MSFT,2014,381720000000,93450000000,27280000000,172380000000,82600000000,22640000000,85700000000
MSFT,2013,310500000000,83430000000,28030000000,142430000000,63480000000,15600000000,77020000000
MSFT,2012,223660000000,72930000000,20020000000,121270000000,54900000000,11940000000,63040000000
MSFT,2011,218380000000,72050000000,27880000000,108700000000,51620000000,11920000000,52770000000
MSFT,2010,234520000000,66690000000,27090000000,86110000000,39930000000,5930000000,36780000000
MSFT,2009,268550000000,58680000000,21840000000,77880000000,38330000000,5740000000,31440000000
MSFT,2008,172920000000,61980000000,22400000000,72790000000,36500000000,NA,23660000000
MSFT,2007,332110000000,57890000000,24290000000,63170000000,32070000000,NA,23410000000
MSFT,2006,291940000000,46050000000,17410000000,69590000000,29490000000,NA,34160000000
MSFT,2005,271540000000,41350000000,17370000000,70810000000,22700000000,NA,37750000000
MSFT,2004,290710000000,38470000000,14920000000,92380000000,17560000000,NA,60590000000
MSFT,2003,295290000000,34260000000,12270000000,79570000000,18550000000,NA,49040000000
MSFT,2002,276630000000,30780000000,11910000000,67640000000,15460000000,NA,38650000000
MSFT,2001,358050000000,26720000000,9000000000,59250000000,11960000000,NA,31600000000
AAPL,2024,2916000000000,NA,NA,NA,NA,NA,NA
AAPL,2023,2994000000000,383280000000,117660000000,352580000000,290430000000,111080000000,61550000000
AAPL,2022,2066000000000,387530000000,116720000000,352750000000,302080000000,120060000000,48300000000
AAPL,2021,2901000000000,378320000000,119570000000,351000000000,287910000000,124710000000,62630000000
AAPL,2020,2255000000000,294130000000,77470000000,323880000000,258540000000,112430000000,90940000000
AAPL,2019,1287000000000,267680000000,71220000000,338510000000,248020000000,108040000000,100550000000
AAPL,2018,746070000000,261610000000,73170000000,365720000000,258570000000,114480000000,66300000000
AAPL,2017,860880000000,239170000000,69470000000,375310000000,241270000000,115680000000,74180000000
AAPL,2016,608960000000,218110000000,62680000000,321680000000,193430000000,87030000000,67150000000
AAPL,2015,583610000000,234980000000,73550000000,290470000000,171120000000,64460000000,41600000000
AAPL,2014,643120000000,199800000000,60620000000,231830000000,120290000000,35290000000,25070000000
AAPL,2013,500740000000,173990000000,50410000000,207000000000,83450000000,16960000000,40540000000
AAPL,2012,499690000000,164680000000,55860000000,176060000000,57850000000,NA,29120000000
AAPL,2011,377510000000,127840000000,43300000000,116370000000,39750000000,NA,25950000000
AAPL,2010,297090000000,76280000000,21480000000,75180000000,27390000000,NA,25620000000
AAPL,2009,190980000000,44370000000,11870000000,53850000000,26010000000,NA,23460000000
AAPL,2008,75990000000,34750000000,7250000000,39570000000,18540000000,NA,24490000000
AAPL,2007,174030000000,26490000000,5210000000,25340000000,10810000000,NA,15380000000
AAPL,2006,72980000000,20680000000,3390000000,17200000000,7220000000,NA,10110000000
AAPL,2005,60790000000,16190000000,1990000000,11550000000,4080000000,NA,8260000000
AAPL,2004,26050000000,9760000000,690000000,8050000000,2970000000,NA,5460000000
AAPL,2003,7880000000,6740000000,190000000,6810000000,2590000000,300000000,4560000000
AAPL,2002,5160000000,5830000000,35000000,6290000000,2200000000,310000000,4330000000
AAPL,2001,7710000000,5730000000,310000000,6020000000,2100000000,310000000,4330000000
GOOG,2024,1858000000000,NA,NA,NA,NA,NA,NA
GOOG,2023,1756000000000,297130000000,78780000000,NA,NA,NA,NA
GOOG,2022,1145000000000,282830000000,71680000000,365260000000,109120000000,27200000000,113760000000
GOOG,2021,1917000000000,257630000000,91080000000,359260000000,107630000000,26200000000,139640000000
GOOG,2020,1185000000000,182520000000,48210000000,319610000000,97070000000,25070000000,136690000000
GOOG,2019,921130000000,161850000000,39720000000,275900000000,74460000000,14760000000,119670000000
GOOG,2018,723550000000,136810000000,35020000000,232790000000,55160000000,4010000000,109140000000
GOOG,2017,729450000000,110850000000,27300000000,197290000000,44790000000,3960000000,101870000000
GOOG,2016,539060000000,90270000000,24270000000,167490000000,28460000000,3930000000,86330000000
GOOG,2015,528160000000,74980000000,19750000000,147460000000,27130000000,5220000000,73060000000
GOOG,2014,359500000000,66000000000,17360000000,131130000000,26630000000,5230000000,64390000000
AMZN,2024,1812000000000,NA,NA,NA,NA,NA,NA
AMZN,2023,1570000000000,554020000000,26070000000,NA,NA,NA,NA
AMZN,2022,856940000000,513980000000,3570000000,462670000000,316630000000,140110000000,70020000000
