June 2024,,,,,,
Name,Symbol,Open,Close,Change,Percent,SNR
S&P 500,^SPX,5297.15,5460.48,163.33,3.1%,59%
NASDAQ Composite,^IXIC,16865.7,17732.6,866.9,5.1%,54%
Dow Jones Industrial Average,^DJI,38709.99,39118.86,408.87,1.1%,25%
NIFTY 50,^NSEI,23337.9,24010.6,672.7,2.9%,23%
Nikkei 225,^N225,38734.95,39583.08,848.13,2.2%,21%
US Dollar,DX-Y.NYB,,105.56,,,19%
Crude Oil,CL=F,76.97,81.83,4.86,6.3%,17%
S&P/ASX 200,^AXJO,7701.7,7767.5,65.8,0.9%,13%
Russell 2000,^RUT,2082.4,2047.69,-34.71,-1.7%,-5%
Gold,GC=F,2322.6,2338.2,15.6,0.7%,-5%
DAX,^GDAXI,18503.79,18235.45,-268.34,-1.5%,-10%
S&P/TSX Composite,^GSPTSE,22262.1,21875.8,-386.3,-1.7%,-10%
FTSE 100,^FTSE,8275.4,8164.1,-111.3,-1.3%,-12%
Hang Seng,^HSI,18283.56,17718.61,-564.95,-3.1%,-16%
10 Year Treasury Note Yield,^TNX,4.47,4.34,-0.13,-2.9%,-20%
CBOE Volatility,^VIX,13.08,12.44,-0.64,-4.9%,-29%
CAC 40,^FCHI,8069.62,7479.4,-590.22,-7.3%,-35%
SSE Composite,000001.SS,3085.98,2967.4,-118.58,-3.8%,-62%
