June 2024 (High SNR),,,,,,
Name,Symbol,Open,Close,Change,Percent,SNR
Adobe Inc.,ADBE,447.58,555.54,107.96,24.1%,36%
Carnival,CCL,15.21,18.72,3.51,23.1%,37%
Oracle Corporation,ORCL,117.53,141.2,23.67,20.1%,37%
CrowdStrike,CRWD,319.37,383.19,63.82,20.0%,37%
ServiceNow,NOW,659.8,786.67,126.87,19.2%,83%
Broadcom Inc.,AVGO,1352.7,1605.53,252.83,18.7%,26%
FedEx,FDX,253.38,299.84,46.46,18.3%,28%
Hewlett Packard Enterprise,HPE,17.91,21.17,3.26,18.2%,32%
Qorvo,QRVO,99,116.04,17.04,17.2%,59%
Arista Networks,ANET,300.4,350.48,50.08,16.7%,48%
Fair Isaac,FICO,1288.67,1488.66,199.99,15.5%,59%
Palo Alto Networks,PANW,296.42,339.01,42.59,14.4%,64%
Intuit,INTU,575.61,657.21,81.6,14.2%,61%
Skyworks Solutions,SWKS,93.31,106.58,13.27,14.2%,43%
Insulet Corporation,PODD,177.4,201.8,24.4,13.8%,51%
Autodesk,ADSK,219.59,247.45,27.86,12.7%,48%
Norwegian Cruise Line Holdings,NCLH,16.7,18.79,2.09,12.5%,29%
Lam Research,LRCX,946.97,1064.85,117.88,12.4%,43%
Uber,UBER,64.78,72.68,7.9,12.2%,34%
Expedia Group,EXPE,112.94,125.99,13.05,11.6%,52%
"Tesla, Inc.",TSLA,178.13,197.88,19.75,11.1%,30%
Caesars Entertainment,CZR,35.8,39.74,3.94,11.0%,27%
Iron Mountain,IRM,81.03,89.62,8.59,10.6%,73%
MGM Resorts,MGM,40.17,44.44,4.27,10.6%,53%
Intuitive Surgical,ISRG,402.89,444.85,41.96,10.4%,59%
Seagate Technology,STX,93.63,103.27,9.64,10.3%,37%
Monolithic Power Systems,MPWR,746.35,821.68,75.33,10.1%,40%
O'Reilly Auto Parts,ORLY,959.35,1056.06,96.71,10.1%,40%
Eli Lilly and Company,LLY,823.83,905.38,81.55,9.9%,91%
Salesforce,CRM,234.62,257.1,22.48,9.6%,34%
NetApp,NTAP,117.93,128.8,10.87,9.2%,41%
Apple Inc.,AAPL,192.9,210.62,17.72,9.2%,31%
Targa Resources,TRGP,118.23,128.78,10.55,8.9%,57%
Amazon,AMZN,177.7,193.25,15.55,8.8%,45%
Hilton Worldwide,HLT,200.71,218.2,17.49,8.7%,53%
Nvidia,NVDA,113.62,123.54,9.92,8.7%,25%
Applied Materials,AMAT,218.33,235.99,17.66,8.1%,30%
Microsoft,MSFT,415.53,446.95,31.42,7.6%,63%
Royal Caribbean Group,RCL,148.25,159.43,11.18,7.5%,27%
Synchrony Financial,SYF,43.9,47.19,3.29,7.5%,19%
Regeneron,REGN,980.16,1051.03,70.87,7.2%,53%
AbbVie,ABBV,160,171.52,11.52,7.2%,40%
Meta Platforms,META,470.86,504.22,33.36,7.1%,42%
Cadence Design Systems,CDNS,287.31,307.75,20.44,7.1%,32%
Gartner,IT,420.14,449.06,28.92,6.9%,45%
AutoZone,AZO,2772.18,2964.1,191.92,6.9%,36%
KLA Corporation,KLAC,771.48,824.51,53.03,6.9%,25%
"Rollins, Inc.",ROL,45.67,48.79,3.12,6.8%,41%
Verisk,VRSK,252.54,269.55,17.01,6.7%,60%
Gilead Sciences,GILD,64.3,68.61,4.31,6.7%,20%
AvalonBay Communities,AVB,194.14,206.89,12.75,6.6%,60%
Extra Space Storage,EXR,145.76,155.41,9.65,6.6%,35%
Discover Financial,DFS,123,130.81,7.81,6.3%,21%
TJX Companies,TJX,103.7,110.1,6.4,6.2%,56%
Motorola Solutions,MSI,363.51,386.05,22.54,6.2%,49%
"UDR, Inc.",UDR,38.78,41.15,2.37,6.1%,53%
Equity Residential,EQR,65.41,69.34,3.93,6.0%,47%
Mid-America Apartment Communities,MAA,134.57,142.61,8.04,6.0%,43%
Accenture,ACN,286.35,303.41,17.06,6.0%,21%
Roper Technologies,ROP,532.76,563.66,30.9,5.8%,55%
Moody's Corporation,MCO,398.21,420.93,22.72,5.7%,34%
Alphabet Inc. (Class A),GOOGL,172.54,182.15,9.61,5.6%,39%
Alphabet Inc. (Class C),GOOG,173.88,183.42,9.54,5.5%,38%
AT&T,T,18.13,19.11,0.98,5.4%,31%
Camden Property Trust,CPT,103.6,109.11,5.51,5.3%,42%
Synopsys,SNPS,564.98,595.06,30.08,5.3%,30%
Incyte,INCY,57.56,60.62,3.06,5.3%,24%
Republic Services,RSG,184.67,194.34,9.67,5.2%,64%
Colgate-Palmolive,CL,92.45,97.04,4.59,5.0%,48%
Baker Hughes,BKR,33.48,35.17,1.69,5.0%,19%
EPAM Systems,EPAM,179.18,188.11,8.93,5.0%,19%
Southwest Airlines,LUV,27.26,28.61,1.35,5.0%,15%
Electronic Arts,EA,132.88,139.33,6.45,4.9%,40%
Booking Holdings,BKNG,3776.35,3961.5,185.15,4.9%,38%
Public Storage,PSA,274.25,287.65,13.4,4.9%,31%
Honeywell,HON,203.82,213.54,9.72,4.8%,44%
Costco,COST,811,849.99,38.99,4.8%,37%
Humana,HUM,356.37,373.65,17.28,4.8%,24%
Tyler Technologies,TYL,480.28,502.78,22.5,4.7%,26%
Aon,AON,280.77,293.58,12.81,4.6%,30%
Axon Enterprise,AXON,281.35,294.24,12.89,4.6%,29%
Digital Realty,DLR,145.35,152.05,6.7,4.6%,29%
Netflix,NFLX,645.22,674.88,29.66,4.6%,29%
Equifax,EFX,231.82,242.46,10.64,4.6%,18%
Edwards Lifesciences,EW,88.41,92.37,3.96,4.5%,37%
LabCorp,LH,194.91,203.51,8.6,4.4%,26%
Marriott International,MAR,231.73,241.77,10.04,4.3%,37%
Corning Inc.,GLW,37.26,38.85,1.59,4.3%,17%
Ross Stores,ROST,139.48,145.32,5.84,4.2%,30%
Regions Financial Corporation,RF,19.24,20.04,0.8,4.2%,9%
S&P Global,SPGI,428.44,446,17.56,4.1%,31%
Essex Property Trust,ESS,261.6,272.2,10.6,4.1%,28%
Clorox,CLX,131.07,136.47,5.4,4.1%,26%
Charter Communications,CHTR,287.25,298.96,11.71,4.1%,24%
Airbnb,ABNB,145.74,151.63,5.89,4.0%,27%
Catalent,CTLT,54.1,56.23,2.13,3.9%,27%
IBM,IBM,166.54,172.95,6.41,3.8%,23%
Constellation Brands,STZ,248.03,257.28,9.25,3.7%,20%
Willis Towers Watson,WTW,253.62,262.14,8.52,3.4%,29%
Walmart,WMT,65.51,67.71,2.2,3.4%,24%
General Motors,GM,44.96,46.46,1.5,3.3%,13%
