name,sym,open,close,change,percent,snr
Motorola,MSI,399.86,442.04,42.18,0.105,0.87
Public Storage,PSA,298.29,343.72,45.43,0.152,0.76
Arch Capital,ACGL,96.18,113.09,16.91,0.176,0.71
Booz Allen Hamilton Holding,BAH,143.31,158.78,15.47,0.108,0.68
"Ventas, Inc.",VTR,54.96,62.11,7.15,0.13,0.67
Ventas,VTR,54.96,62.11,7.15,0.13,0.67
Progressive,PGR,216.5,252.2,35.7,0.165,0.65
UDR,UDR,40.52,44.51,3.99,0.098,0.65
Erie Indemnity,ERIE,441.3,508.23,66.93,0.152,0.65
CME,CME,194.21,215.74,21.53,0.111,0.64
Merit Medical,MMSI,84.81,96.68,11.87,0.14,0.64
Northrop Grumman,NOC,485.8,523.21,37.41,0.077,0.61
CareTrust REIT,CTRE,27.1,29.88,2.78,0.103,0.6
Mid-America,MAA,141.49,162.37,20.88,0.148,0.59
W.R. Berkley Corp.,WRB,55.38,59.7,4.32,0.078,0.59
WR Berkley,WRB,55.38,59.7,4.32,0.078,0.59
Intercontinental Exchange,ICE,150.28,161.55,11.27,0.075,0.58
Universal Health,UHS,215.11,237.97,22.86,0.106,0.58
Edison International,EIX,80.5,87.03,6.53,0.081,0.57
Clorox,CLX,132.6,158.31,25.71,0.194,0.56
Coca-Cola,KO,67,72.47,5.47,0.082,0.55
Medtronic,MDT,80.69,88.58,7.89,0.098,0.53
Keurig Dr Pepper,KDP,34.38,36.61,2.23,0.065,0.53
Leidos,LDOS,145.23,158.51,13.28,0.091,0.53
Boston Scientific,BSX,74.12,81.79,7.67,0.103,0.52
Altria,MO,49.61,53.77,4.16,0.084,0.51
Aon PLC,AON,330,343.72,13.72,0.042,0.5
Republic,RSG,194.87,208.21,13.34,0.068,0.5
Juniper Networks,JNPR,37.82,38.88,1.06,0.028,0.49
Stryker,SYK,330.14,360.42,30.28,0.092,0.48
"Welltower, Inc.",WELL,112.4,120.68,8.28,0.074,0.48
Welltower,WELL,112.4,120.68,8.28,0.074,0.48
Equifax,EFX,278.6,307.13,28.53,0.102,0.48
American Homes 4 Rent,AMH,36.35,39.77,3.42,0.094,0.48
RenaissanceRe,RNR,233.92,254.79,20.87,0.089,0.48
Intuitive Surgical,ISRG,443.3,492.63,49.33,0.111,0.47
Colgate-Palmolive,CL,99.55,106.5,6.95,0.07,0.47
Quest Diagnostics,DGX,142.86,156.97,14.11,0.099,0.47
Assurant,AIZ,175.9,196.35,20.45,0.116,0.47
Ecolab,ECL,232.99,253.18,20.19,0.087,0.46
Floor & Decor,FND,98.07,112.44,14.37,0.147,0.46
Extra Space Storage,EXR,162.07,177,14.93,0.092,0.46
Camden Property Trust,CPT,112.37,125.2,12.83,0.114,0.46
Linde,LIN,456.07,478.25,22.18,0.049,0.45
GoDaddy,GDDY,146.07,167.41,21.34,0.146,0.45
CubeSmart,CUBE,48.04,51.83,3.79,0.079,0.45
T-Mobile US,TMUS,181.87,198.72,16.85,0.093,0.44
Cinemark,CNK,23.58,27.38,3.8,0.161,0.44
Ultragenyx Pharmaceutical,RARE,45,56.78,11.78,0.262,0.44
Philip Morris International,PM,115.78,123.29,7.51,0.065,0.43
Lockheed Martin,LMT,544.04,568.1,24.06,0.044,0.43
ResMed,RMD,212.75,245.02,32.27,0.152,0.43
PPL,PPL,29.87,31.91,2.04,0.068,0.43
Semtech,SMTC,31.56,43.82,12.26,0.388,0.43
Independence Realty Trust,IRT,18.6,20.78,2.18,0.117,0.43
Acadia Healthcare,ACHC,69.26,81.93,12.67,0.183,0.42
Kellogg,K,60.1,80.61,20.51,0.341,0.41
Halozyme Therapeutics,HALO,55.52,63.85,8.33,0.15,0.41
CBOE,CBOE,183.74,205.4,21.66,0.118,0.4
Automatic Data Processing,ADP,260.38,275.91,15.53,0.06,0.39
Realty Income,O,57.64,62.11,4.47,0.078,0.39
Kimberly-Clark,KMB,136.12,144.66,8.54,0.063,0.39
AvalonBay Communities,AVB,209.35,225.73,16.38,0.078,0.39
Equity Residential,EQR,70.18,74.88,4.7,0.067,0.39
DaVita,DVA,136.72,150.92,14.2,0.104,0.39
Parsons,PSN,90.64,95.46,4.82,0.053,0.39
McDonald's,MCD,266.82,288.66,21.84,0.082,0.38
HCA,HCA,364.11,395.59,31.48,0.086,0.38
Cintas,CTAS,760.9,805.12,44.22,0.058,0.38
Essex Property Trust,ESS,280.3,301.79,21.49,0.077,0.38
"Virtu Financial, Inc.",VIRT,27.47,30.71,3.24,0.118,0.38
Virtu Financial,VIRT,27.47,30.71,3.24,0.118,0.38
Omnicell,OMCL,32.13,44.48,12.35,0.384,0.38
Axonics Modulation,AXNX,68.59,69.17,0.58,0.008,0.38
AFLAC,AFL,104.38,110.36,5.98,0.057,0.37
"WEC Energy Group, Inc.",WEC,86.77,93.03,6.26,0.072,0.37
Wec Energy,WEC,86.77,93.03,6.26,0.072,0.37
Penumbra,PEN,168.73,202.32,33.59,0.199,0.37
Regency Centers,REG,67.7,72.69,4.99,0.074,0.37
Regeneron Pharma,REGN,1060.86,1184.69,123.83,0.117,0.36
Edwards Lifesciences,EW,63.05,69.96,6.91,0.11,0.36
Cardinal Health,CAH,101.29,112.72,11.43,0.113,0.36
Glaukos,GKOS,111.04,133.89,22.85,0.206,0.36
Pilgrim's Pride,PPC,43,46.58,3.58,0.083,0.36
Granite Construction,GVA,70,75.16,5.16,0.074,0.36
CareDx,CDNA,26,30.73,4.73,0.182,0.36
United Therapeutics,UTHR,312.29,363.55,51.26,0.164,0.35
FirstEnergy,FE,42.19,43.92,1.73,0.041,0.35
Agree Realty,ADC,69.59,73.01,3.42,0.049,0.35
National Storage Affiliates Trust,NSA,42.87,46.74,3.87,0.09,0.35
Belden,BDC,93.18,107.28,14.1,0.151,0.35
Costco,COST,818.55,892.38,73.83,0.09,0.34
Trupanion,TRUP,37.31,45.73,8.42,0.226,0.34
Netflix,NFLX,629.25,701.35,72.1,0.115,0.33
Procter and Gamble,PG,160.88,171.54,10.66,0.066,0.33
General Mills,GIS,67,72.29,5.29,0.079,0.33
Brown and Brown,BRO,100.04,105.13,5.09,0.051,0.33
Post,POST,109.36,115.77,6.41,0.059,0.33
Abbott Labs,ABT,106.65,113.27,6.62,0.062,0.32
Frank's International,FI,164.17,174.6,10.43,0.064,0.32
Fiserv,FISV,164.17,174.6,10.43,0.064,0.32
Exact Sciences,EXAS,55.23,61.69,6.46,0.117,0.32
"VICI Properties, Inc.",VICI,32.03,33.48,1.45,0.045,0.32
VICI Properties,VICI,32.03,33.48,1.45,0.045,0.32
Omega Healthcare Investors,OHI,36.69,39.54,2.85,0.078,0.32
Cincinnati Financial,CINF,131.25,137.03,5.78,0.044,0.32
Coca-Cola Bottling Consolidated,COKE,1167.34,1342.4,175.06,0.15,0.32
Brixmor Property,BRX,25.7,27.39,1.69,0.066,0.32
"Walmart, Inc.",WMT,68.91,77.23,8.32,0.121,0.31
Wal-Mart,WMT,68.91,77.23,8.32,0.121,0.31
NIKE,NKE,74.7,83.32,8.62,0.115,0.31
Moody's,MCO,458.6,487.74,29.14,0.064,0.31
Tenet Healthcare,THC,150.37,165.84,15.47,0.103,0.31
Box,BOX,28.18,32.6,4.42,0.157,0.31
Bright Horizons Family,BFAM,120.39,140.72,20.33,0.169,0.31
ICU Medical,ICUI,126.92,165.33,38.41,0.303,0.31
First American,FAF,61.05,63.8,2.75,0.045,0.31
Vector,VGR,13.44,14.98,1.54,0.115,0.31
Vector Group Ltd.,VGR,13.44,14.98,1.54,0.115,0.31
BioCryst Pharma,BCRX,7.28,8.69,1.41,0.194,0.31
AbbVie,ABBV,187.77,196.31,8.54,0.045,0.3
"Waste Management, Inc.",WM,203.22,212.04,8.82,0.043,0.3
Waste Management,WM,203.22,212.04,8.82,0.043,0.3
Allstate,ALL,174.5,188.94,14.44,0.083,0.3
NiSource,NI,31.42,33.06,1.64,0.052,0.3
CMS Energy,CMS,65.11,67.86,2.75,0.042,0.3
frontdoor,FTDR,42.68,48.08,5.4,0.127,0.3
National Health Investors,NHI,75.29,81.43,6.14,0.082,0.3
3M,MMM,127.5,134.69,7.19,0.056,0.29
Teleflex,TFX,226.73,245.17,18.44,0.081,0.29
Elanco Animal Health,ELAN,13.11,15.47,2.36,0.18,0.29
Hawaiian,HA,12.74,17.32,4.58,0.359,0.29
Arrow Electronics,ARW,131.7,135.08,3.38,0.026,0.29
Spectrum Brands,SPB,84.68,94.32,9.64,0.114,0.29
VOXX International,VOXX,2.59,5.49,2.9,1.12,0.29
VOXX International Corp.,VOXX,2.59,5.49,2.9,1.12,0.29
Hawkins,HWKN,113.69,126.67,12.98,0.114,0.29
Eli Lilly,LLY,833.62,960.02,126.4,0.152,0.28
S&P Global,SPGI,489.91,513.24,23.33,0.048,0.28
ONEOK,OKE,82.58,92.36,9.78,0.118,0.28
Simon Property,SPG,155.01,167.35,12.34,0.08,0.28
Natera,NTRA,103.08,118.26,15.18,0.147,0.28
Tetra Tech,TTEK,222.36,237.74,15.38,0.069,0.28
