dt,price
2024.15,1.21
2024.04,1.203
2023.93,1.197
2023.83,1.197
2023.72,1.197
2023.61,1.203
2023.51,1.21
2023.4,1.216
2023.29,1.21
2023.19,1.197
2023.08,1.191
2022.97,1.18
2022.87,1.156
2022.76,1.128
2022.65,1.094
2022.55,1.062
2022.44,1.041
2022.33,0.995
2022.22,0.975
2022.12,0.937
2022.01,0.909
2021.9,0.909
2021.8,0.914
2021.69,0.932
2021.58,0.932
2021.48,0.937
2021.37,0.942
2021.26,0.946
2021.16,0.966
2021.05,0.97
2020.94,0.966
2020.84,0.918
2020.73,0.887
2020.62,0.869
2020.52,0.844
2020.41,0.839
2020.3,0.831
2020.2,0.835
2020.09,0.831
2019.98,0.823
2019.88,0.831
2019.77,0.844
2019.66,0.852
2019.56,0.848
2019.45,0.844
2019.34,0.848
2019.24,0.835
2019.13,0.831
2019.02,0.81
2018.92,0.802
2018.81,0.802
2018.7,0.794
2018.6,0.794
2018.49,0.802
2018.38,0.798
2018.28,0.794
2018.17,0.794
2018.06,0.794
2017.96,0.798
2017.85,0.819
2017.74,0.844
2017.64,0.856
2017.53,0.861
2017.42,0.852
2017.32,0.827
2017.21,0.819
2017.1,0.798
2017,0.798
2016.89,0.786
2016.78,0.763
2016.67,0.744
2016.57,0.737
2016.46,0.733
2016.35,0.752
2016.25,0.767
2016.14,0.79
2016.03,0.806
2015.93,0.81
2015.82,0.819
2015.71,0.819
2015.61,0.823
2015.5,0.827
2015.39,0.819
2015.29,0.814
2015.18,0.81
2015.07,0.798
2014.97,0.794
2014.86,0.798
2014.75,0.806
2014.65,0.802
2014.54,0.798
2014.43,0.794
2014.33,0.798
2014.22,0.794
2014.11,0.798
2014.01,0.802
2013.9,0.798
2013.79,0.79
2013.69,0.771
2013.58,0.767
2013.47,0.771
2013.37,0.775
2013.26,0.779
2013.15,0.775
2013.05,0.771
2012.94,0.752
2012.83,0.733
2012.73,0.722
2012.62,0.726
2012.51,0.715
2012.41,0.708
2012.3,0.708
2012.19,0.694
2012.09,0.673
2011.98,0.673
2011.87,0.69
2011.77,0.711
2011.66,0.715
2011.55,0.73
2011.44,0.73
2011.34,0.726
2011.23,0.719
2011.12,0.733
2011.02,0.737
2010.91,0.722
2010.8,0.715
2010.7,0.704
2010.59,0.667
2010.48,0.644
2010.38,0.622
2010.27,0.606
2010.16,0.597
2010.06,0.588
2009.95,0.582
2009.84,0.582
2009.74,0.591
2009.63,0.603
2009.52,0.609
2009.42,0.631
2009.31,0.637
2009.2,0.663
2009.1,0.67
2008.99,0.68
2008.88,0.677
2008.78,0.684
2008.67,0.69
2008.56,0.719
2008.46,0.722
2008.35,0.715
2008.24,0.67
2008.14,0.66
2008.03,0.647
2007.92,0.625
2007.82,0.588
2007.71,0.571
2007.6,0.562
2007.5,0.494
2007.39,0.486
2007.28,0.472
2007.18,0.472
2007.07,0.479
2006.96,0.482
2006.86,0.474
2006.75,0.467
2006.64,0.472
2006.54,0.474
2006.43,0.467
2006.32,0.44
2006.22,0.421
2006.11,0.396
2006,0.364
2005.89,0.351
2005.79,0.35
2005.68,0.357
2005.57,0.36
2005.47,0.367
2005.36,0.381
2005.25,0.4
2005.15,0.421
2005.04,0.431
2004.93,0.447
2004.83,0.467
2004.72,0.479
2004.61,0.484
2004.51,0.494
2004.4,0.496
2004.29,0.506
2004.19,0.506
2004.08,0.509
2003.97,0.511
2003.87,0.511
2003.76,0.511
2003.65,0.506
2003.55,0.499
2003.44,0.496
2003.33,0.494
2003.23,0.491
2003.12,0.486
2003.01,0.484
2002.91,0.479
2002.8,0.474
2002.69,0.474
2002.59,0.451
2002.48,0.436
2002.37,0.421
2002.27,0.382
2002.16,0.364
2002.05,0.343
2001.95,0.318
2001.84,0.307
2001.73,0.308
2001.63,0.307
2001.52,0.318
2001.41,0.337
2001.31,0.358
2001.2,0.392
2001.09,0.396
2000.99,0.425
2000.88,0.419
2000.77,0.414
2000.67,0.404
2000.56,0.394
2000.45,0.373
2000.34,0.357
2000.24,0.353
2000.13,0.351
2000.02,0.35
1999.92,0.36
1999.81,0.367
1999.7,0.381
1999.6,0.382
1999.49,0.386
1999.38,0.39
1999.28,0.398
1999.17,0.423
1999.06,0.429
1998.96,0.433
1998.85,0.431
1998.74,0.421
1998.64,0.416
1998.53,0.416
1998.42,0.41
1998.32,0.406
1998.21,0.398
1998.1,0.398
1998,0.398
1997.89,0.396
1997.78,0.4
1997.68,0.402
1997.57,0.406
1997.46,0.412
1997.36,0.414
1997.25,0.39
1997.14,0.375
1997.04,0.357
1996.93,0.331
1996.82,0.326
1996.72,0.332
1996.61,0.343
1996.5,0.367
1996.4,0.382
1996.29,0.392
1996.18,0.414
1996.08,0.425
1995.97,0.44
1995.86,0.442
1995.76,0.442
1995.65,0.421
1995.54,0.41
1995.44,0.394
1995.33,0.367
1995.22,0.364
1995.11,0.367
1995.01,0.381
1994.9,0.386
1994.79,0.392
1994.69,0.398
1994.58,0.421
1994.47,0.427
1994.37,0.438
1994.26,0.438
1994.15,0.431
1994.05,0.423
1993.94,0.408
1993.83,0.386
1993.73,0.375
1993.62,0.371
1993.51,0.364
1993.41,0.366
1993.3,0.367
1993.19,0.369
1993.09,0.367
1992.98,0.371
1992.87,0.377
1992.77,0.384
1992.66,0.375
1992.55,0.369
1992.45,0.369
1992.34,0.362
1992.23,0.358
1992.13,0.357
1992.02,0.346
1991.91,0.334
1991.81,0.323
1991.7,0.324
1991.59,0.329
1991.49,0.336
1991.38,0.346
1991.27,0.348
1991.17,0.355
1991.06,0.357
1990.95,0.364
1990.85,0.375
1990.74,0.369
1990.63,0.36
1990.53,0.351
1990.42,0.337
1990.31,0.334
1990.21,0.336
1990.1,0.336
1989.99,0.334
1989.89,0.332
1989.78,0.336
1989.67,0.336
1989.56,0.334
1989.46,0.332
1989.35,0.326
1989.24,0.319
1989.14,0.308
1989.03,0.312
1988.92,0.313
1988.82,0.312
1988.71,0.308
1988.6,0.307
1988.5,0.31
1988.39,0.313
1988.28,0.313
1988.18,0.312
1988.07,0.305
1987.96,0.304
1987.86,0.305
1987.75,0.304
1987.64,0.293
1987.54,0.286
1987.43,0.276
1987.32,0.271
1987.22,0.273
1987.11,0.275
1987,0.276
1986.9,0.275
1986.79,0.276
1986.68,0.288
1986.58,0.289
1986.47,0.292
1986.36,0.292
1986.26,0.276
1986.15,0.273
1986.04,0.268
1985.94,0.254
1985.83,0.247
1985.72,0.239
1985.62,0.233
1985.51,0.228
1985.4,0.231
1985.3,0.232
1985.19,0.233
1985.08,0.232
1984.98,0.232
1984.87,0.232
1984.76,0.233
1984.66,0.238
1984.55,0.239
1984.44,0.238
1984.33,0.241
1984.23,0.247
1984.12,0.255
1984.01,0.259
1983.91,0.259
1983.8,0.255
1983.69,0.258
1983.59,0.26
1983.48,0.268
1983.37,0.264
1983.27,0.261
1983.16,0.263
1983.05,0.268
1982.95,0.269
1982.84,0.275
1982.73,0.275
1982.63,0.273
1982.52,0.271
1982.41,0.264
1982.31,0.264
1982.2,0.264
1982.09,0.265
1981.99,0.265
1981.88,0.258
1981.77,0.252
1981.67,0.246
1981.56,0.244
1981.45,0.245
1981.35,0.244
1981.24,0.238
1981.13,0.233
1981.03,0.225
1980.92,0.228
1980.81,0.23
1980.71,0.234
1980.6,0.235
1980.49,0.239
1980.39,0.241
1980.28,0.245
1980.17,0.244
1980.07,0.243
1979.96,0.237
1979.85,0.231
1979.75,0.224
1979.64,0.219
1979.53,0.213
1979.43,0.209
1979.32,0.201
1979.21,0.198
1979.11,0.193
1979,0.191
1978.89,0.188
1978.78,0.185
1978.68,0.182
1978.57,0.18
1978.46,0.181
1978.36,0.179
1978.25,0.176
1978.14,0.173
1978.04,0.172
1977.93,0.169
1977.82,0.166
1977.72,0.163
1977.61,0.162
1977.5,0.16
1977.4,0.159
1977.29,0.162
1977.18,0.164
1977.08,0.166
1976.97,0.166
1976.86,0.168
1976.76,0.173
1976.65,0.175
1976.54,0.177
1976.44,0.176
1976.33,0.173
1976.22,0.169
1976.12,0.167
1976.01,0.165
1975.9,0.167
1975.8,0.17
1975.69,0.17
1975.58,0.17
1975.48,0.168
1975.37,0.165
1975.26,0.163
1975.16,0.161
1975.05,0.158
1974.94,0.155
1974.84,0.146
1974.73,0.142
1974.62,0.14
1974.52,0.132
1974.41,0.128
1974.3,0.125
1974.2,0.123
1974.09,0.119
1973.98,0.117
1973.88,0.115
1973.77,0.112
1973.66,0.11
1973.56,0.109
1973.45,0.108
1973.34,0.109
1973.23,0.11
1973.13,0.111
1973.02,0.109
1972.91,0.108
1972.81,0.108
1972.7,0.11
1972.59,0.111
1972.49,0.112
1972.38,0.111
1972.27,0.109
1972.17,0.107
1972.06,0.106
1971.95,0.105
1971.85,0.106
1971.74,0.107
1971.63,0.107
1971.53,0.107
1971.42,0.108
1971.31,0.108
1971.21,0.111
1971.1,0.112
1970.99,0.114
1970.89,0.115
1970.78,0.114
1970.67,0.113
1970.57,0.111
1970.46,0.109
1970.35,0.109
1970.25,0.107
1970.14,0.105
1970.03,0.104
1969.93,0.104
1969.82,0.105
1969.71,0.106
1969.61,0.106
1969.5,0.106
1969.39,0.105
1969.29,0.106
1969.18,0.107
1969.07,0.107
1968.97,0.108
1968.86,0.107
1968.75,0.105
1968.65,0.105
1968.54,0.105
1968.43,0.108
1968.33,0.107
1968.22,0.107
1968.11,0.107
1968,0.106
1967.9,0.105
1967.79,0.106
1967.68,0.106
1967.58,0.105
1967.47,0.103
1967.36,0.103
1967.26,0.103
1967.15,0.102
1967.04,0.102
1966.94,0.102
1966.83,0.103
1966.72,0.103
1966.62,0.104
1966.51,0.104
1966.4,0.103
1966.3,0.103
1966.19,0.103
1966.08,0.103
1965.98,0.102
1965.87,0.101
1965.76,0.1
1965.66,0.099
1965.55,0.098
