sym,open,close,change,percent,snr,flow
NVDA,117.53,119.37,1.84,0.016,0.05,939195802782
TSLA,227.69,214.11,-13.58,-0.06,-0.14,338537503188
AAPL,224.37,229,4.63,0.021,0.08,246809702058
MSFT,420.79,417.14,-3.65,-0.009,-0.02,185135555396
AMZN,189.29,178.5,-10.79,-0.057,-0.08,166175971429
AMD,145,148.56,3.56,0.025,0.02,157110283823
GOOGL,170.25,163.38,-6.87,-0.04,-0.17,89699646709
AVGO,157.5,162.82,5.32,0.034,0.04,81597828169
LLY,833.62,960.02,126.4,0.152,0.28,69082103774
GOOG,171.98,165.11,-6.87,-0.04,-0.17,64162491570
MU,107.18,96.24,-10.94,-0.102,-0.17,50342277024
V,266.33,276.37,10.04,0.038,0.2,50111187106
NFLX,629.25,701.35,72.1,0.115,0.33,44245904650
INTC,30.43,22.04,-8.39,-0.276,-0.21,42361974065
SBUX,77.89,94.57,16.68,0.214,0.19,40688899282
JPM,213.2,224.8,11.6,0.054,0.13,36081174420
UNH,577.2,590.2,13,0.023,0.16,34859099731
QCOM,171.76,175.3,3.54,0.021,-0.05,34546920106
BAC,40.44,40.75,0.31,0.008,-0,34493648104
COST,818.55,892.38,73.83,0.09,0.34,33684578076
XOM,118.35,117.94,-0.41,-0.003,-0.05,33297105594
MSTR,161.5,132.42,-29.08,-0.18,-0.18,32509351758
AMAT,204.13,197.26,-6.87,-0.034,-0.11,31782435249
CRM,259.9,252.9,-7,-0.027,-0.05,31453173412
PANW,323.41,362.72,39.31,0.122,0.2,28509251124
WMT,68.91,77.23,8.32,0.121,0.31,28343521292
DELL,112.93,115.54,2.61,0.023,0.01,28051272702
HD,369.99,368.5,-1.49,-0.004,0,27155312629
TXN,201.75,214.34,12.59,0.062,0.13,24928457402
UBER,64.86,73.13,8.27,0.128,0.18,24476170285
CVX,158.71,147.95,-10.76,-0.068,-0.28,24268808451
LRCX,854.75,821.01,-33.74,-0.039,-0.16,24206717044
DIS,93.86,90.38,-3.48,-0.037,-0.13,24064207771
BKNG,3716.23,3909.23,193,0.052,0.09,23919128605
JNJ,158.48,165.86,7.38,0.047,0.23,23762173941
PG,160.88,171.54,10.66,0.066,0.33,23655877358
ADBE,549.99,574.41,24.42,0.044,0.12,22438337457
MRK,113.13,118.45,5.32,0.047,0.16,22224427295
CMG,54.29,56.08,1.79,0.033,0.06,22212305277
BA,190,173.74,-16.26,-0.086,-0.19,21907292909
CSCO,48.62,50.54,1.92,0.039,0.09,21818163375
MA,465.46,483.34,17.88,0.038,0.18,21664115766
GS,510,510.25,0.25,0,-0.01,21306983280
KO,67,72.47,5.47,0.082,0.55,21098127608
MCD,266.82,288.66,21.84,0.082,0.38,20572318700
NKE,74.7,83.32,8.62,0.115,0.31,19602693204
INTU,647,630.26,-16.74,-0.026,-0.09,19396665227
PEP,172.53,172.88,0.35,0.002,-0.03,19147964049
ABBV,187.77,196.31,8.54,0.045,0.3,19095821466
WFC,59.26,58.47,-0.79,-0.013,-0.05,19049523838
CAT,346.3,356.1,9.8,0.028,0.06,18219090222
MRVL,65.55,76.24,10.69,0.163,0.17,18197083797
ADI,228.08,234.84,6.76,0.03,0.04,18146375555
PYPL,65.78,72.43,6.65,0.101,0.21,17996511710
NOW,818.86,855,36.14,0.044,0.13,17573415370
C,65.08,62.64,-2.44,-0.037,-0.09,17460183186
PFE,30.72,29.01,-1.71,-0.056,-0.26,17368466379
TGT,151.21,153.62,2.41,0.016,0.03,17363331180
KLAC,821.24,819.43,-1.81,-0.002,-0,17061252103
TMUS,181.87,198.72,16.85,0.093,0.44,16796028624
ETN,290.04,306.93,16.89,0.058,-0.01,16462953482
GE,170.75,174.62,3.87,0.023,0.06,15878018640
ORCL,139.29,141.29,2,0.014,0.03,15564145113
TMO,616.4,615.07,-1.33,-0.002,-0.02,14907113477
OXY,60.86,56.98,-3.88,-0.064,-0.21,14346362541
AXP,253.85,258.65,4.8,0.019,0.04,14332024543
TJX,113.79,117.27,3.48,0.031,0.09,14291381886
ACN,333.88,341.95,8.07,0.024,0.12,14187238529
COP,112.45,113.79,1.34,0.012,0.05,14130730506
AMGN,336.09,333.83,-2.26,-0.007,0,14092393336
CMCSA,41.25,39.57,-1.68,-0.041,-0.22,13695901024
LIN,456.07,478.25,22.18,0.049,0.45,13610751827
WDAY,227.33,263.19,35.86,0.158,0.21,13526766440
DE,366.37,385.74,19.37,0.053,0.07,13317190898
LULU,258.67,259.47,0.8,0.003,0,13251335111
FALSE,10.86,11.19,0.33,0.03,0.06,13148036642
SNPS,556.04,519.58,-36.46,-0.066,-0.11,13116658875
ISRG,443.3,492.63,49.33,0.111,0.47,12997761999
VRTX,495.85,495.89,0.04,0,-0.02,12960337213
MARA,19.72,16.7,-3.02,-0.153,-0.17,12917919723
ABT,106.65,113.27,6.62,0.062,0.32,12798051785
VZ,40.67,41.78,1.11,0.027,0.15,12753599300
