group,date,net,long,short
Non Reportable,2024-10-08,102712,379442,276730
Non Reportable,2024-10-01,97614,371525,273911
Non Reportable,2024-09-24,113740,370771,257031
Non Reportable,2024-09-17,96916,399285,302369
Non Reportable,2024-09-10,83431,382968,299537
Non Reportable,2024-09-03,112376,402655,290279
Non Reportable,2024-08-27,132582,397257,264675
Non Reportable,2024-08-20,103544,384089,280545
Non Reportable,2024-08-13,80186,374651,294465
Non Reportable,2024-08-06,107290,400608,293318
Non Reportable,2024-07-30,145269,419356,274087
Non Reportable,2024-07-23,129874,402832,272958
Non Reportable,2024-07-09,109379,383778,274399
Non Reportable,2024-06-25,118337,381332,262995
Non Reportable,2024-06-18,106970,429530,322560
Non Reportable,2024-06-11,128919,421221,292302
Non Reportable,2024-06-04,123805,414516,290711
Non Reportable,2024-05-28,116952,412443,295491
Non Reportable,2024-05-21,127250,411259,284009
Non Reportable,2024-05-14,105386,400974,295588
Non Reportable,2024-05-07,106480,406411,299931
Non Reportable,2024-04-30,114574,409671,295097
Non Reportable,2024-04-23,129451,413546,284095
Non Reportable,2024-04-16,118660,422812,304152
Non Reportable,2024-04-09,108951,411659,302708
Non Reportable,2024-04-02,105409,404674,299265
Non Reportable,2024-03-26,103840,399739,295899
Non Reportable,2024-03-19,86992,382432,295440
Non Reportable,2024-03-12,96618,424309,327691
Non Reportable,2024-03-05,93145,397368,304223
Non Reportable,2024-02-27,91466,390704,299238
Non Reportable,2024-02-20,74429,393465,319036
Non Reportable,2024-02-13,66165,392308,326143
Non Reportable,2024-02-06,78462,382937,304475
Non Reportable,2024-01-30,94213,397115,302902
Non Reportable,2024-01-23,84064,387856,303792
Non Reportable,2024-01-16,66119,385145,319026
Non Reportable,2024-01-09,108624,401428,292804
Non Reportable,2024-01-02,95830,391835,296005
Non Reportable,2023-12-26,77053,384014,306961
Non Reportable,2023-12-19,72518,390272,317754
Non Reportable,2023-12-12,42284,443766,401482
Non Reportable,2023-12-05,44890,393155,348265
Non Reportable,2023-11-28,38684,385752,347068
Non Reportable,2023-11-21,46306,394176,347870
Non Reportable,2023-11-14,27932,383288,355356
Non Reportable,2023-11-07,-4259,367537,371796
Non Reportable,2023-10-31,18827,378612,359785
Non Reportable,2023-10-24,17003,368650,351647
Non Reportable,2023-10-17,-28,356036,356064
Non Reportable,2023-10-10,9155,356688,347533
