date,relevance
Jan-04,12
Feb-04,12
Mar-04,12
Apr-04,11
May-04,11
Jun-04,9
Jul-04,8
Aug-04,8
Sep-04,9
Oct-04,10
Nov-04,12
Dec-04,11
Jan-05,10
Feb-05,11
Mar-05,10
Apr-05,10
May-05,9
Jun-05,8
Jul-05,7
Aug-05,7
Sep-05,7
Oct-05,9
Nov-05,9
Dec-05,8
Jan-06,11
Feb-06,11
Mar-06,11
Apr-06,11
May-06,10
Jun-06,9
Jul-06,7
Aug-06,7
Sep-06,7
Oct-06,10
Nov-06,10
Dec-06,9
Jan-07,10
Feb-07,13
Mar-07,14
Apr-07,11
May-07,10
Jun-07,9
Jul-07,11
Aug-07,13
Sep-07,10
Oct-07,12
Nov-07,14
Dec-07,11
Jan-08,18
Feb-08,12
Mar-08,14
Apr-08,11
May-08,9
Jun-08,9
Jul-08,11
Aug-08,8
Sep-08,28
Oct-08,46
Nov-08,23
Dec-08,16
Jan-09,14
Feb-09,16
Mar-09,21
Apr-09,14
May-09,12
Jun-09,10
Jul-09,9
Aug-09,9
Sep-09,10
Oct-09,11
Nov-09,11
Dec-09,9
Jan-10,10
Feb-10,10
Mar-10,10
Apr-10,11
May-10,14
Jun-10,8
Jul-10,8
Aug-10,7
Sep-10,8
Oct-10,9
Nov-10,10
Dec-10,9
Jan-11,11
Feb-11,11
Mar-11,11
Apr-11,9
May-11,8
Jun-11,8
Jul-11,8
Aug-11,24
Sep-11,11
Oct-11,12
Nov-11,11
Dec-11,9
Jan-12,9
Feb-12,10
Mar-12,9
Apr-12,9
May-12,9
Jun-12,7
Jul-12,6
Aug-12,6
Sep-12,7
Oct-12,9
Nov-12,12
Dec-12,8
Jan-13,8
Feb-13,9
Mar-13,10
Apr-13,9
May-13,8
Jun-13,8
Jul-13,7
Aug-13,7
Sep-13,10
Oct-13,12
Nov-13,10
Dec-13,9
Jan-14,10
Feb-14,12
Mar-14,10
Apr-14,11
May-14,8
Jun-14,7
Jul-14,8
Aug-14,7
Sep-14,8
Oct-14,14
Nov-14,10
Dec-14,12
Jan-15,12
Feb-15,11
Mar-15,11
Apr-15,11
May-15,9
Jun-15,10
Jul-15,17
Aug-15,28
Sep-15,18
Oct-15,13
Nov-15,11
Dec-15,11
Jan-16,23
Feb-16,17
Mar-16,13
Apr-16,11
May-16,10
Jun-16,16
Jul-16,10
Aug-16,9
Sep-16,10
Oct-16,9
Nov-16,24
Dec-16,11
Jan-17,12
Feb-17,12
Mar-17,12
Apr-17,11
May-17,10
Jun-17,10
Jul-17,9
Aug-17,11
Sep-17,9
Oct-17,11
Nov-17,11
Dec-17,13
Jan-18,17
Feb-18,36
Mar-18,20
Apr-18,17
May-18,13
Jun-18,13
Jul-18,12
Aug-18,12
Sep-18,13
Oct-18,26
Nov-18,19
Dec-18,32
Jan-19,20
Feb-19,16
Mar-19,14
Apr-19,14
May-19,17
Jun-19,13
Jul-19,13
Aug-19,23
Sep-19,14
Oct-19,16
Nov-19,15
Dec-19,15
Jan-20,19
Feb-20,34
Mar-20,100
Apr-20,48
May-20,28
Jun-20,35
Jul-20,26
Aug-20,22
Sep-20,25
Oct-20,24
Nov-20,29
Dec-20,23
Jan-21,38
Feb-21,34
Mar-21,25
Apr-21,22
May-21,21
Jun-21,19
Jul-21,19
Aug-21,15
Sep-21,18
Oct-21,17
Nov-21,21
Dec-21,24
Jan-22,25
Feb-22,28
Mar-22,23
Apr-22,21
May-22,30
Jun-22,27
Jul-22,17
Aug-22,16
Sep-22,21
Oct-22,19
Nov-22,19
Dec-22,17
Jan-23,16
Feb-23,16
Mar-23,19
Apr-23,15
May-23,14
Jun-23,14
Jul-23,13
Aug-23,14
Sep-23,12
Oct-23,15
Nov-23,15
Dec-23,14
Jan-24,15
Feb-24,16
Mar-24,15
Apr-24,14
May-24,13
Jun-24,12
Jul-24,14
Aug-24,28
Sep-24,14
Oct-24,15
